"filename", "language", "C++", "Dart", "Groovy", "JSON", "Properties", "XML", "Markdown", "HTML", "YAML", "Swift", "comment", "blank", "total"
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 8, 20
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 23, 4, 30
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\build.gradle", "Groovy", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 1, 15, 85
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 10, 6, 52
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\build.gradle", "Groovy", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\android\settings.gradle", "Groovy", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\app.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\auth_form_field.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 58
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\auth_space_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\custom_date_formater.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 19
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\custom_text_button.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\error_dialog.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\finish_dialog.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 67
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\general_loader.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\horizontal_spacer_box.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\map_info_subtitle.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\map_info_title.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\map_inst_screen.dart", "Dart", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 169
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\number_form_field.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\primary_button.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\primary_buttonCadastro.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 41
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\secundary_button.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\components\vertical_spacer_box.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\atali\Desktop\Jobs\LMTS\comunidadefreiriana-app-v2\lib\constants\constants.dart", "Dart", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 135
